Input.sentence,Input.emphasize,Answer.rewrite
When industries were weak it protected them,protected,The protecting of them happened when industries were weak
But the Fed move was a small gesture traders said,said,N/A
Randy Delchamps retains his position as president,retains,The retention of the position as president was held by Randy Delchamps
Reward El Espectador 's courage with real support,Reward,N/A
Traders said most municipal bonds ended 1\/2 point higher,ended,The ending of the mutual bonds was 1V2 point higher said the traders
Sen. Mitchell urged them to desist,urged,The urging them to desist was from Sen. Mitchell
Rising operating expenses are another problem,Rising,The rising of operating expenses are another problem
Banco Popular meanwhile dropped 1 1\/4 to 21 1\/2,dropped,The dropping of Banco Popular went from 1 1V4 to 21 1V2
Revenue soared to 101.7 million from 39.5 million,soared,The soaring of the revenue went from 39.5 million to 101.7 million
RADIO MALAISE draws the ear of the Federal Communications Commission,draws,Drawing the ear of the Federal Communications Commission is Radio Malaise
Sen. Mitchell urged them to desist,desist,The desisting was urged by Sen Mitchell
Each Rothschild bank is linked by family ties and cross-ownership,linked,The linking of each Rothschild bank is done by family ties and cross ownership
It is also planning another night of original series,planning,A plan for another night of original series is also something it has
COMPARE P\/E RATIOS WITH PROSPECTS,COMPARE,There is a comparison between the PVE ratios and the prospects
Are you stupid he snaps,Are,N/A
International Paper or Weyerhaeuser could step in,step,The stepping in could be done by International Paper or Weyerhaeuser
Revenue gained 5.3 % to 404.1 million from 383.8 million,gained,Gaining 5.3 % to 404.1 million from 383.8 million was revenue
Are you stupid he snaps,snaps,The snapping occurred when he questioned if you are stupid
Indeed abortion-rights activists still face their greatest tests,face,The facing of their greatest fears is still felt by abortion rights activists
At Applied Mr. Sim set growth as his first objective,set,The setting of growth was the first objective made by Mr Sim at Applied
Institutional buyers were the main force pushing blue chips higher,pushing,The pushing of blue chips higher was done mainly by institutional buyers
A man said he saw the upper rim undulate,said,Saying he saw the upper rim undulate was a man
Mr. Patel also was placed on three years ' probation,placed,The placing of three years probation was on Mr Patel
Inventories fell 0.3 % in August,fell,The falling of inventories was 0.3 percent in August
You can drive piles on it and build on it,drive,N/A
A man said he saw the upper rim undulate,saw,The sight of the upper rim undulating is what a man said he had
a Totals include only vehicle sales reported in the period,include,The including of totals was only for vehicles reported in the period
You can drive piles on it and build on it,build,The building on it can occur after you drive piles on it
Thomas F. O'Boyle contributed to this article,contributed,The contribution to this article was from Thomas F. O'Boyle
A man said he saw the upper rim undulate,undulate,Undulating is what the man said he saw the upper rim doing
This is the most moving Traviata I 've ever seen,'ve,N/A
I want my dignity back he says,want,The wanting of dignity back comes from him
It closed yesterday at 34 3\/4,closed,The closing yesterday was at 34 3V4
a Totals include only vehicle sales reported in the period,reported,The reporting of totals was only for vehicle sales in that period
