Input.sentence,Input.emphasize,Answer.rewrite
Other temperature data show similar unexplained swings,similar,Other temperature data show unexplained swings that are similar
It is also planning another night of original series,original,It is also planning another night of series that are original
Until 1963 it was good soil,good,Until 1963 the soil was good
All this is causing convulsions in professional football,professional,All this is causing convulsions in football at the level of professional
Other temperature data show similar unexplained swings,unexplained,Other temperature data show similar swings that are unexplained
Institutional buyers were the main force pushing blue chips higher,Institutional,The main force pushing blue chips higher were buyers that were institutional
Institutional buyers were the main force pushing blue chips higher,main,Insitutional buyers pushing blue chips higher was the force that was main
For longer-term CDs yields were up,longer-term,Yields were up for CDs that are longer term
Institutional buyers were the main force pushing blue chips higher,blue,Blue chips were being pushed higher by Institutional buyers
Banks may contribute more senior debt,more,Banks may contribute to senior debt even more
You have n't seen the full effect of that yet,full,The effect of that you have seen is not yet full
None of the officials was available for comment,available,None of the officials who could comment were available
This is the most moving Traviata I 've ever seen,moving,Out of all the Traviatas I have seen this is the most moving
Short-term rates were little changed,Short-term,Little changed were rates that are short-term
Most other states have enacted similar bans,Most,Other states that have enacted similar bans are most
He said the normal ratio is five to six weeks,normal,He said the ratio of five to six weeks is normal
Banks may contribute more senior debt,senior,Banks may contribute to more debt which is senior
The controls on cooperatives appeared relatively liberal when first introduced,liberal,When first introduced the controls on cooperatives appeared relatively liberal
Short-term rates were little changed,changed,N/A
Chief executives and presidents had come and gone,Chief,Those who had come and gone were presidents and executives at the level of chief
Most other states have enacted similar bans,other,States that have enacted similar bans were mostly other
Such centrifugal egg breakers have been around since the 1890s,Such,What's been around since the 1980s are these centrifugal egg breakers as such
Press agents and public-relations practitioners are notorious name-droppers,notorious,Press agents and public-relations practitioners are name-droppers known to be notorious
"The price can not be less than 7,000",less,"The 7,000 price can not be any less"
Irish and Soviet people are similar says Mr. Ovcharenko,Irish,Mr. Ovcharenko says Soviet people are similar to Irish
Most other states have enacted similar bans,similar,Most other states have enacted bans which are similar
Such centrifugal egg breakers have been around since the 1890s,centrifugal,Such egg breakers that have been around since the 1890s are centrifugal
The Phillips plant makes polyethylene polypropylene and other plastic products,other,N/A
